source_id,gold_label,notes,lat,lon,match_dist_m
jamnagar_22.7551_70.4528,AGRI_BURN,,,,
jamnagar_22.7244_70.4488,AGRI_BURN,,,,
jamnagar_22.7311_70.5231,AGRI_BURN,,,,
jamnagar_22.7200_70.3172,AGRI_BURN,,,,
jamnagar_22.7342_70.4418,AGRI_BURN,,,,
jamnagar_22.3875_69.9724,AGRI_BURN,,,,
jamnagar_22.3060_70.2857,AGRI_BURN,,,,
jamnagar_22.3094_70.2359,AGRI_BURN,,,,
jamnagar_22.3097_69.9655,AGRI_BURN,,,,
jamnagar_22.2509_70.3476,AGRI_BURN,,,,
jamnagar_22.2510_70.0191,AGRI_BURN,,,,
jamnagar_22.2514_70.1197,AGRI_BURN,,,,
jamnagar_22.6219_70.3255,AGRI_BURN,,,,
jamnagar_22.7387_70.5163,AGRI_BURN,,,,
jamnagar_22.7370_70.4487,AGRI_BURN,,,,
jamnagar_22.7366_70.5127,AGRI_BURN,,,,
jamnagar_21.9628_70.3753,AGRI_BURN,,,,
jamnagar_21.9638_70.1424,AGRI_BURN,,,,
jamnagar_21.9644_69.6165,AGRI_BURN,,,,
jamnagar_21.9655_70.3757,AGRI_BURN,,,,
jamnagar_21.9674_69.7756,AGRI_BURN,,,,
jamnagar_22.0839_69.6656,AGRI_BURN,,,,
jamnagar_22.3872_69.8239,INDUSTRIAL,,,,
jamnagar_22.3876_70.0718,AGRI_BURN,,,,
jamnagar_22.3980_70.3618,AGRI_BURN,,,,
jamnagar_22.6007_70.4013,AGRI_BURN,,,,
jamnagar_22.5975_70.4139,AGRI_BURN,,,,
jamnagar_22.5797_70.3152,AGRI_BURN,,,,
jamnagar_22.5786_70.2921,AGRI_BURN,,,,
jamnagar_21.9476_69.8226,AGRI_BURN,,,,
jamnagar_21.9481_69.6895,AGRI_BURN,,,,
jamnagar_21.9482_70.3273,AGRI_BURN,,,,
jamnagar_21.9489_70.3853,AGRI_BURN,,,,
jamnagar_21.9493_69.8098,AGRI_BURN,,,,
jamnagar_21.9518_70.4971,AGRI_BURN,,,,
jamnagar_21.9531_69.5002,AGRI_BURN,,,,
jamnagar_22.5675_70.2091,AGRI_BURN,,,,
jamnagar_21.9251_69.6845,AGRI_BURN,,,,
jamnagar_22.3697_70.5211,AGRI_BURN,,,,
jamnagar_22.3708_69.7693,AGRI_BURN,,,,
jamnagar_22.3723_69.9371,AGRI_BURN,,,,
jamnagar_22.0162_70.2535,FOREST_FIRE,,,,
jamnagar_22.0198_69.7749,AGRI_BURN,,,,
jamnagar_22.7194_70.4370,AGRI_BURN,,,,
jamnagar_22.5657_70.3008,AGRI_BURN,,,,
jamnagar_22.3377_70.2340,AGRI_BURN,,,,
jamnagar_22.1608_69.5232,AGRI_BURN,,,,
jamnagar_22.1623_69.4259,AGRI_BURN,,,,
jamnagar_22.6582_70.5646,AGRI_BURN,,,,
jamnagar_22.6589_70.4568,AGRI_BURN,,,,
jamnagar_22.6594_70.3688,AGRI_BURN,,,,
jamnagar_22.6569_70.5131,AGRI_BURN,,,,
jamnagar_22.1600_70.3199,AGRI_BURN,,,,
jamnagar_21.9557_70.4315,AGRI_BURN,,,,
jamnagar_21.9574_69.8835,AGRI_BURN,,,,
jamnagar_21.9603_69.7836,AGRI_BURN,,,,
jamnagar_21.9613_69.7835,AGRI_BURN,,,,
jamnagar_21.9619_70.3206,AGRI_BURN,,,,
jamnagar_21.9625_69.8845,AGRI_BURN,,,,
jamnagar_21.9705_70.2891,AGRI_BURN,,,,
jamnagar_22.3985_70.3627,AGRI_BURN,,,,
jamnagar_22.4029_70.4864,AGRI_BURN,,,,
jamnagar_22.1547_70.4324,AGRI_BURN,,,,
jamnagar_22.6790_70.3015,AGRI_BURN,,,,
jamnagar_21.8735_69.5485,AGRI_BURN,,,,
jamnagar_21.8738_70.4947,AGRI_BURN,,,,
jamnagar_22.1643_70.1196,AGRI_BURN,,,,
jamnagar_22.1680_70.3581,AGRI_BURN,,,,
jamnagar_22.4175_70.2550,AGRI_BURN,,,,
jamnagar_22.0944_69.8425,AGRI_BURN,,,,
jamnagar_21.8553_69.5779,AGRI_BURN,,,,
jamnagar_22.1510_70.2583,AGRI_BURN,,,,
jamnagar_22.1544_69.4780,AGRI_BURN,,,,
jamnagar_22.1552_70.4896,AGRI_BURN,,,,
jamnagar_22.1565_70.3206,INDUSTRIAL,,,,
jamnagar_22.6738_70.5711,AGRI_BURN,,,,
jamnagar_22.6716_70.5250,AGRI_BURN,,,,
jamnagar_22.6708_70.3800,AGRI_BURN,,,,
jamnagar_22.5869_70.2976,AGRI_BURN,,,,
jamnagar_22.5882_70.2610,AGRI_BURN,,,,
jamnagar_22.5861_70.2969,AGRI_BURN,,,,
jamnagar_22.3153_69.8602,INDUSTRIAL,,,,
uttarakhand_29.6146_79.8020,FOREST_FIRE,,,,
jamnagar_22.8452_69.7632,INDUSTRIAL,,,,
singrauli_24.0103_82.7845,INDUSTRIAL,,,,
korba_22.3702_82.3070,UNCLEAR,,,,
punjab_30.7558_75.9754,AGRI_BURN,,,,
korba_22.3651_82.2779,UNCLEAR,,,,
punjab_30.5058_75.8926,INDUSTRIAL,,,,
punjab_30.5064_76.2812,INDUSTRIAL,,,,
